university	date	deadline	vid_interview	live_interview	rejected	unk_rejected	accepted	passed
1	1	9/20/18	9/2/18			11/14/18			
2	2	9/20/18					11/21/19		
3	3	9/20/18					11/21/19		
4	4	9/21/18				12/7/18			
5	5	9/21/18				12/27/18			
6	6	9/21/18			1/2/19		11/21/19		
7	7	9/21/18	10/1/18	11/7/18		12/7/18			
8	8	9/25/18					11/21/19		
9	9	9/25/18	11/15/18	10/17/18			11/21/19		
10	10	9/25/18	NA	10/5/18			11/21/19		
11	11	9/26/18	10/16/18			10/10/18			
12	12	9/26/18	NA			9/27/18			
13	13	9/27/18	10/15/18		10/4/18	4/22/19			
14	14	9/30/18					11/21/19		
15	15	9/30/18					11/21/19		
16	16	10/1/18					11/21/19		
17	17	10/1/18				11/30/18			
18	18	10/1/18					11/21/19		
19	19	10/1/18					11/21/19		
20	20	10/1/18					11/21/19		
21	21	10/1/18					11/21/19		
22	22	10/1/18				5/10/19			
23	23	10/1/18					11/21/19		
24	24	10/1/18					11/21/19		
25	25	10/1/18	NA	10/23/18	11/15/18	1/18/19			
26	26	10/3/18					11/21/19		
27	27	10/3/18				12/7/18			
28	28	10/3/18				12/17/18			
29	29	10/3/18					11/21/19		
30	30	10/4/18					11/21/19		
31	31	10/4/18		11/20/18		12/11/18			
32	32	10/5/18				12/18/18			
33	33	10/6/18				12/13/18			
34	34	10/8/18					11/21/19		
35	35	10/8/18				1/25/19			
36	36	10/8/18					11/21/19		
37	37	10/9/18				3/5/19			
38	38	10/9/18				4/16/19			
39	39	10/9/18				12/20/18			
40	40	10/9/18	10/14/18	11/9/18		11/26/18			
41	41	10/9/18					11/21/19		
42	42	10/9/18				1/28/19			
43	43	10/9/18				3/29/19			
44	44	10/9/18				9/6/19			
45	45	10/9/18					11/21/19		
46	46	10/9/18				1/7/19			
47	47	10/9/18					11/21/19		
48	48	10/9/18					11/21/19		
49	49	10/9/18					11/21/19		
50	50	10/9/18	NA		11/7/18	6/4/19			
51	51	10/11/18					11/21/19		
52	52	10/11/18					11/21/19		
53	53	10/12/18				12/3/18			
54	54	10/17/18					11/21/19		
55	55	10/17/18					11/21/19		
56	56	10/17/18					11/21/19		
57	57	10/17/18			11/25/18	3/11/19			
58	58	10/17/18				1/3/19			
59	59	10/25/18					11/21/19		
60	60	10/25/18					11/21/19		
61	61	10/25/18					11/21/19		
62	62	10/25/18		11/21/18		2/20/19			
63	63	10/25/18				4/10/19			
64	64	10/25/18					11/21/19		
65	65	10/25/18				1/10/19			
66	66	10/25/18				1/23/19			
67	67	10/25/18				12/6/18			
68	68	10/25/18				1/9/19			
69	69	10/25/18			12/5/18	2/22/19			
70	70	10/25/18					11/21/19		
71	71	11/1/18					11/21/19		
72	72	11/1/18					11/21/19		
73	73	11/1/18					11/21/19		
74	74	11/1/18				7/17/19			
75	75	11/3/18					11/21/19		
76	76	11/3/18					11/21/19		
77	77	11/4/18		12/10/18			11/21/19		
78	78	11/4/18					11/21/19		
79	79	11/6/18					11/21/19		
80	80	11/6/18					11/21/19		
81	81	11/6/18					11/21/19		
82	82	11/7/18					11/21/19		
83	83	11/7/18			11/28/18	6/11/19			
84	84	11/12/18				1/4/19			
85	85	11/12/18				1/14/19			
86	86	11/12/18					11/21/19		
87	87	11/12/18					11/21/19		
88	88	11/12/18	11/16/18		12/31/18	5/3/19			
89	89	11/13/18	11/30/18				11/21/19		
90	90	11/13/18	11/15/18			2/22/19			
91	91	11/13/18	12/15/18			9/19/19			
92	92	11/13/18	12/15/18	1/18/19	2/1/19	4/25/19			
93	93	11/13/18	11/15/18				11/21/19		
94	94	11/13/18	1/15/19				11/21/19		
95	95	11/13/18	NA				11/21/19		
96	96	11/18/18	12/1/18			1/17/19			
97	97	11/18/18	NA				11/21/19		
98	98	11/18/18	NA				11/21/19		
99	99	11/19/18	NA				11/21/19		
100	100	11/20/18	11/5/18			9/6/19			
101	101	11/20/18	10/31/18			9/6/19			
102	102	11/20/18	NA				11/21/19		
103	103	11/20/18	12/14/18				11/21/19		
104	104	11/20/18	NA		2/6/19			4/20/19	
105	105	11/20/18	NA				11/21/19		
106	106	11/21/18	1/31/19				11/21/19		
107	107	11/23/18	12/31/18				11/21/19		
108	108	11/23/18	NA			1/10/19			
109	109	11/23/18	12/1/18			2/23/19			
110	110	11/23/18	NA			5/21/19			
111	111	11/23/18	11/1/18				11/21/19		
112	112	12/15/18	NA				11/21/19		
113	113	12/20/18	NA				11/21/19		
114	114	12/21/18	NA	1/15/19			11/21/19		
115	115	12/21/18	NA				11/21/19		
116	116	12/21/18	NA				11/21/19		
117	117	12/21/18	NA			3/12/19			
118	118	12/28/18	1/20/19			8/12/19			
119	119	3/6/19	4/15/19						6/12/19
